City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
okitipupa,32,NG,03/26/19,85,6.5,4.78,79.05,4.5
berdigestyakh,0,RU,03/26/19,66,62.1,126.7,-1.15,6.29
shanghai,0,CN,03/26/19,76,31.23,121.49,59.0,8.95
bera,0,BD,03/26/19,89,24.08,89.61,68.16,5.73
santa isabel do rio negro,24,BR,03/26/19,56,-0.41,-65.02,91.11,5.95
alofi,92,NU,03/26/19,78,-19.06,-169.92,80.6,10.29
ust-barguzin,0,RU,03/26/19,51,53.41,109.03,-5.29,2.37
esmeralda,0,CL,03/26/19,46,-34.33,-70.9,74.91,2.37
okha,56,RU,03/26/19,76,53.59,142.95,13.08,11.32
bogande,76,BF,03/26/19,49,12.97,-0.14,86.43,0.58
shadegan,0,IR,03/26/19,68,30.65,48.67,64.4,5.73
ponta delgada,20,PT,03/26/19,72,37.73,-25.67,59.0,10.29
timizart,76,DZ,03/26/19,81,36.8,4.25,55.99,1.99
la vega,40,DO,03/26/19,49,19.22,-70.53,89.6,4.7
byumba,40,RW,03/26/19,88,-1.58,30.06,66.0,5.82
srivardhan,48,IN,03/26/19,100,18.03,73.02,72.84,3.49
praya,75,ID,03/26/19,100,-8.71,116.27,75.2,3.36
gairo,24,TZ,03/26/19,72,-6.14,36.87,70.14,7.96
cam ranh,40,VN,03/26/19,83,11.92,109.15,80.6,4.7
ishigaki,12,JP,03/26/19,100,24.34,124.16,71.94,12.21
arkhara,0,RU,03/26/19,55,49.42,130.09,16.41,6.96
gillette,1,US,03/26/19,35,44.29,-105.5,57.0,11.41
anaconda,1,US,03/26/19,36,46.13,-112.94,48.2,4.7
lima,40,PE,03/26/19,65,-12.06,-77.04,77.0,10.29
batticaloa,0,LK,03/26/19,100,7.71,81.69,75.99,3.94
flinders,90,AU,03/26/19,76,-34.58,150.85,57.0,6.93
plouzane,0,FR,03/26/19,87,48.38,-4.62,48.2,4.7
ust-maya,48,RU,03/26/19,79,60.42,134.54,3.54,4.5
nenagh,75,IE,03/26/19,70,52.86,-8.2,48.2,3.36
nishihara,0,JP,03/26/19,58,35.74,139.53,51.01,23.04
diebougou,88,BF,03/26/19,87,10.97,-3.25,76.44,5.28
srednekolymsk,80,RU,03/26/19,63,67.46,153.71,3.18,11.77
bemidji,90,US,03/26/19,60,47.48,-94.89,39.99,9.17
oudtshoorn,32,ZA,03/26/19,77,-33.59,22.2,60.8,12.75
maxixe,92,MZ,03/26/19,86,-23.86,35.35,79.41,18.37
ler,90,NO,03/26/19,93,63.2,10.3,41.0,11.41
guajara,92,BR,03/26/19,100,-0.88,-48.16,79.5,7.74
sao filipe,0,CV,03/26/19,97,14.9,-24.5,70.41,11.21
vao,0,EE,03/26/19,75,59.1,26.19,26.76,9.64
biskamzha,0,RU,03/26/19,66,53.45,89.53,5.97,2.04
ilinge,92,ZA,03/26/19,96,-31.98,27.04,51.78,2.93
santa cruz,90,US,03/26/19,67,36.97,-122.03,68.0,3.15
along,92,IN,03/26/19,95,28.17,94.8,55.38,1.03
yurga,0,RU,03/26/19,60,55.71,84.93,14.61,6.62
dunmore town,12,BS,03/26/19,100,25.5,-76.65,75.63,5.39
talnakh,92,RU,03/26/19,90,69.49,88.39,27.84,18.81
half moon bay,1,US,03/26/19,76,37.46,-122.43,66.99,3.36
comodoro rivadavia,0,AR,03/26/19,72,-45.87,-67.48,64.4,4.7
baracoa,56,CU,03/26/19,100,20.35,-74.5,75.81,4.94
mogwase,32,ZA,03/26/19,47,-25.28,27.22,65.82,3.6
kapiri mposhi,20,ZM,03/26/19,54,-13.97,28.68,72.39,7.07
tuatapere,56,NZ,03/26/19,91,-46.13,167.69,54.0,11.01
porto torres,90,IT,03/26/19,93,40.84,8.4,46.4,5.82
la primavera,40,AR,03/26/19,52,-32.92,-68.67,66.2,11.41
petropavlovsk-kamchatskiy,0,RU,03/26/19,53,53.05,158.65,24.8,15.66
vagay,0,RU,03/26/19,83,57.94,69.02,28.92,8.08
hofn,0,IS,03/26/19,92,64.25,-15.21,40.35,13.22
javanrud,40,IR,03/26/19,70,34.8,46.49,42.8,11.41
honningsvag,76,NO,03/26/19,100,70.98,25.97,25.23,6.96
malpe,20,IN,03/26/19,74,13.35,74.72,82.4,1.48
luang prabang,68,LA,03/26/19,93,19.89,102.14,68.25,1.7
dumai,48,ID,03/26/19,98,1.68,101.45,75.09,2.37
sheopur,0,IN,03/26/19,56,25.67,76.7,59.79,2.71
sabla,8,NG,03/26/19,27,12.75,4.71,78.78,7.07
sioux lookout,75,CA,03/26/19,35,50.1,-91.92,39.2,13.87
tara,20,JP,03/26/19,93,33.0,130.15,53.01,4.7
cuiluan,0,CN,03/26/19,53,47.72,128.65,12.0,4.94
touros,56,BR,03/26/19,98,-5.2,-35.46,79.32,3.27
karema,24,TZ,03/26/19,91,-6.82,30.44,66.36,2.15
pirgos,20,GR,03/26/19,72,35.12,25.72,59.0,14.79
yavaros,0,MX,03/26/19,38,26.7,-109.52,87.01,5.01
birao,12,CF,03/26/19,64,10.3,22.78,77.61,4.38
puerto narino,75,CO,03/26/19,74,-3.77,-70.38,87.8,5.82
seymchan,44,RU,03/26/19,73,62.93,152.39,4.62,16.24
latiano,20,IT,03/26/19,82,40.55,17.72,57.2,8.05
viedma,0,AR,03/26/19,45,-40.81,-62.99,66.81,9.08
boddam,20,GB,03/26/19,66,57.47,-1.78,51.8,4.7
mendi,8,ET,03/26/19,37,9.8,35.1,64.83,4.94
whitehorse,75,CA,03/26/19,60,60.72,-135.06,39.99,8.05
darayya,0,SY,03/26/19,66,33.46,36.24,48.2,11.41
yatou,40,CM,03/26/19,88,3.63,9.81,80.6,8.75
paragominas,92,BR,03/26/19,88,-3.0,-47.35,78.42,2.82
oistins,20,BB,03/26/19,58,13.07,-59.53,84.2,21.92
loviisa,0,FI,03/26/19,53,60.46,26.23,27.0,3.36
ballina,75,IE,03/26/19,70,54.11,-9.15,48.99,6.93
kavaratti,0,IN,03/26/19,100,10.57,72.64,83.64,8.63
gainesville,20,US,03/26/19,39,29.65,-82.33,82.99,7.18
mombetsu,0,JP,03/26/19,77,44.35,143.35,32.0,11.99
sorland,90,NO,03/26/19,92,67.67,12.69,33.8,13.87
japura,88,ID,03/26/19,97,-0.42,102.29,72.57,1.25
aykhal,68,RU,03/26/19,52,65.95,111.51,3.36,4.38
linxi,75,CN,03/26/19,93,23.65,116.7,64.4,4.47
lasa,20,CY,03/26/19,76,34.92,32.53,55.4,9.17
makhachkala,75,RU,03/26/19,81,42.98,47.5,44.6,15.66
waitara,92,NZ,03/26/19,81,-39.0,174.24,70.0,5.01
sept-iles,75,CA,03/26/19,34,50.2,-66.38,19.0,17.22
tianpeng,100,CN,03/26/19,96,28.88,112.34,57.9,2.93
kupang,8,ID,03/26/19,98,-10.16,123.6,80.31,3.71
lukovetskiy,75,RU,03/26/19,92,64.29,41.92,28.4,4.47
bakchar,0,RU,03/26/19,88,57.02,82.07,21.99,5.84
karpogory,92,RU,03/26/19,92,64.0,44.44,30.9,4.72
witu,40,KE,03/26/19,78,-2.39,40.44,82.4,3.36
zhanaozen,64,KZ,03/26/19,64,43.35,52.85,40.98,11.21
delijan,0,IR,03/26/19,88,33.99,50.69,34.14,8.19
kununurra,0,AU,03/26/19,94,-15.77,128.74,78.8,1.12
tyup,8,KG,03/26/19,83,42.73,78.36,12.54,2.71
obo,0,CF,03/26/19,88,5.39,26.49,73.56,3.38
chara,75,GR,03/26/19,87,39.42,22.43,53.6,2.71
alexandria,1,US,03/26/19,37,31.31,-92.44,72.0,11.41
acucena,0,BR,03/26/19,41,-19.07,-42.55,91.4,8.05
taoudenni,68,ML,03/26/19,75,22.68,-3.98,68.79,2.26
jiayuguan,80,CN,03/26/19,59,39.77,98.29,16.41,2.37
allapalli,0,IN,03/26/19,77,19.43,80.06,74.1,7.52
katsuura,20,JP,03/26/19,61,33.93,134.5,48.2,5.82
cortes,92,PH,03/26/19,100,9.28,126.19,71.31,2.71
salekhard,88,RU,03/26/19,92,66.54,66.62,31.71,16.58
sulphur,1,US,03/26/19,40,30.24,-93.38,73.99,8.05
pangody,92,RU,03/26/19,92,65.85,74.49,33.78,21.72
ayabaca,80,PE,03/26/19,97,-4.64,-79.72,64.29,1.92
shitanjing,8,CN,03/26/19,11,39.23,106.34,48.99,1.99
rio gallegos,75,AR,03/26/19,34,-51.62,-69.22,64.4,11.41
raudeberg,75,NO,03/26/19,93,61.99,5.14,44.01,10.29
gimry,75,RU,03/26/19,81,42.76,46.84,44.6,15.66
buchanan,75,LR,03/26/19,78,5.88,-10.05,82.4,8.05
khandyga,12,RU,03/26/19,61,62.65,135.58,-7.81,2.82
cascais,0,PT,03/26/19,37,38.7,-9.42,69.01,6.93
san jose,24,PH,03/26/19,90,15.79,120.99,68.52,2.93
cordoba,0,CO,03/26/19,75,5.59,-73.79,64.56,1.59
yarada,0,IN,03/26/19,100,17.65,83.27,82.74,11.65
gigmoto,80,PH,03/26/19,99,13.78,124.39,78.96,14.12
bijie,92,CN,03/26/19,92,27.3,105.3,46.56,2.71
santo antonio do ica,0,BR,03/26/19,55,-3.1,-67.94,92.73,3.6
guane,80,CU,03/26/19,69,22.2,-84.09,79.32,3.15
jiaonan,0,CN,03/26/19,54,35.88,119.98,59.0,8.95
metro,76,ID,03/26/19,100,-5.11,105.31,73.02,5.95
wanning,75,AT,03/26/19,65,48.64,13.53,42.01,6.93
victor harbor,0,AU,03/26/19,87,-35.55,138.62,55.99,3.94
ko samui,88,TH,03/26/19,100,9.54,99.94,84.72,15.01
pervomayskoye,0,RU,03/26/19,62,57.07,86.23,11.91,5.17
nalobikha,0,RU,03/26/19,75,53.2,84.6,16.41,3.38
abha,0,SA,03/26/19,77,18.22,42.5,60.8,10.29
jacareacanga,48,BR,03/26/19,79,-6.22,-57.76,83.37,1.59
ordzhonikidze,8,UA,03/26/19,94,44.96,35.36,43.77,6.62
dera bugti,12,PK,03/26/19,69,29.03,69.15,67.08,3.71
colares,0,PT,03/26/19,37,38.8,-9.45,69.01,6.93
santiago de cao,20,PE,03/26/19,83,-7.96,-79.24,71.6,11.41
grindavik,75,IS,03/26/19,64,63.84,-22.43,39.99,14.99
shatrovo,20,BG,03/26/19,52,42.29,22.98,46.0,9.17
mandalgovi,68,MN,03/26/19,65,45.76,106.27,19.56,14.56
port moresby,75,PG,03/26/19,94,-9.47,147.16,75.2,3.36
talovaya,88,RU,03/26/19,92,51.12,40.73,34.95,8.41
palmerston,1,CA,03/26/19,25,43.83,-80.85,45.0,10.29
vardo,1,US,03/26/19,28,39.62,-77.74,50.0,10.29
pont-audemer,0,FR,03/26/19,93,49.35,0.52,44.6,3.36
kholm,44,RU,03/26/19,54,57.15,31.18,27.12,10.09
broken hill,0,AU,03/26/19,71,-31.97,141.45,53.6,5.82
talaya,0,RU,03/26/19,63,55.79,84.89,26.6,2.24
havre,20,US,03/26/19,33,48.55,-109.68,60.01,12.75
